,rank,text,family,sim_space,sim_ambiance,sim_combined,weighted_score
0,1,arcade,architecture,0.4244,0.344,0.4335,0.4089
1,2,pavilion,architecture,0.514,0.1564,0.4813,0.4083
2,3,mezzanine,architecture,0.4292,0.2226,0.4706,0.3982
3,4,balcony,architecture,0.4392,0.1988,0.4133,0.3661
4,5,aisle,architecture,0.4269,0.1742,0.4088,0.3547
5,6,cabinet,furniture,0.4571,0.1576,0.3994,0.3534
6,7,dining table,furniture,0.4289,0.1532,0.3928,0.3419
7,8,corridor,architecture,0.4213,0.152,0.3933,0.34
8,9,rotunda,architecture,0.3769,0.2268,0.3744,0.3381
9,10,desk,furniture,0.4679,0.133,0.3676,0.334
10,11,bookshelf,furniture,0.3824,0.1753,0.381,0.3299
11,12,coffee table,furniture,0.4097,0.1606,0.3642,0.3247
12,13,cavernous,spatial,0.3342,0.241,0.3381,0.3128
13,14,labyrinthine,spatial,0.2786,0.2743,0.3467,0.3116
14,15,gathering,behavioral,0.3667,0.279,0.2988,0.3108
15,16,alcove,architecture,0.3583,0.171,0.3402,0.3024
16,17,vault,architecture,0.3471,0.254,0.2991,0.2998
17,18,enclosed,spatial,0.3388,0.2262,0.3073,0.2949
18,19,door,architecture,0.3686,0.1841,0.3044,0.2904
19,20,side table,furniture,0.3427,0.1472,0.3348,0.2899
20,21,atrium,architecture,0.4108,0.0679,0.3345,0.2869
21,22,whiteboard,technology,0.3259,0.1811,0.32,0.2867
22,23,canopy,architecture,0.343,0.1757,0.3038,0.2816
23,24,window,architecture,0.3274,0.2356,0.2673,0.2744
24,25,open,spatial,0.2798,0.2818,0.262,0.2714
25,26,floor,architecture,0.3292,0.1808,0.2868,0.2709
26,27,fireplace,fixture,0.3324,0.1995,0.2736,0.2698
27,28,portal,architecture,0.2906,0.2088,0.2854,0.2675
28,29,subterranean,spatial,0.341,0.1693,0.2799,0.2675
29,30,dome,architecture,0.3029,0.21,0.2756,0.266
