,rank,text,family,sim_space,sim_ambiance,sim_combined,weighted_score,discriminative_score,zscore_score
0,1,sofa,furniture,0.4309,0.2455,0.3946,0.3664,0.1712,3.2465
1,2,bathtub,fixture,0.4068,0.2499,0.366,0.3472,0.1577,2.5142
2,3,contemplative,behavioral,0.2058,0.4431,0.3386,0.3315,0.0549,0.9121
3,4,refuge-taking,behavioral,0.2685,0.3052,0.3726,0.3297,0.1258,2.1143
4,5,retreat,behavioral,0.244,0.3919,0.3374,0.3277,0.1518,2.2129
5,6,armchair,furniture,0.3518,0.2795,0.3379,0.3268,0.1432,2.8263
6,7,dining table,furniture,0.4928,0.1309,0.3348,0.3233,0.1191,2.0378
7,8,ambient,lighting,0.2743,0.3281,0.3372,0.3192,0.0433,1.0908
8,9,bed,furniture,0.3498,0.2474,0.3364,0.3175,0.1516,2.3739
9,10,coffee table,furniture,0.4597,0.1385,0.3292,0.3141,0.0842,1.6403
10,11,gathering,behavioral,0.4007,0.2047,0.3115,0.3071,0.0878,1.4514
11,12,bookshelf,furniture,0.4066,0.1153,0.3406,0.3008,0.0446,0.8725
12,13,cushion,decoration,0.2613,0.3188,0.3013,0.2957,0.134,2.2089
13,14,desk,furniture,0.345,0.1989,0.3094,0.2907,0.0692,1.1562
14,15,diffuse,lighting,0.1728,0.3724,0.2837,0.2781,0.1,2.2862
15,16,alcove,architecture,0.2997,0.186,0.3065,0.2746,0.0505,1.1426
16,17,clerestory,architecture,0.2129,0.2866,0.2869,0.2683,0.0231,0.6113
17,18,balcony,architecture,0.3411,0.1445,0.2928,0.2678,0.0387,0.8379
18,19,quiet,behavioral,0.1899,0.3474,0.2632,0.2659,0.0774,1.2123
19,20,lingering,behavioral,0.2182,0.3101,0.26,0.2621,0.0902,1.8882
20,21,fireplace,fixture,0.3385,0.1333,0.2855,0.2607,0.0857,2.0728
21,22,chair,furniture,0.3376,0.1802,0.2527,0.2558,0.0914,2.36
22,23,shower,fixture,0.266,0.2317,0.2532,0.251,0.0994,1.5866
23,24,cabinet,furniture,0.2783,0.1367,0.2718,0.2397,0.0338,0.7912
24,25,pavilion,architecture,0.336,0.126,0.246,0.2385,-0.003,-0.0717
25,26,ottoman,furniture,0.2487,0.2089,0.2467,0.2377,0.0694,2.0467
26,27,expansive,spatial,0.1785,0.256,0.2539,0.2356,0.024,0.484
27,28,sculptural,quality,0.1839,0.2547,0.2447,0.232,-0.0119,-0.2255
28,29,enclosed,spatial,0.1898,0.2506,0.2361,0.2282,-0.0041,-0.096
29,30,painting,decoration,0.2408,0.1781,0.2325,0.221,0.0661,1.1318
