,rank,text,family,sim_space,sim_ambiance,sim_combined,weighted_score,discriminative_score,zscore_score
0,1,formal,quality,0.3473,0.3532,0.4144,0.3823,0.1717,2.256
1,2,contemplative,behavioral,0.211,0.4101,0.3803,0.3454,0.0688,1.1431
2,3,ambient,lighting,0.2658,0.3852,0.352,0.3387,0.0628,1.5825
3,4,cavernous,spatial,0.2564,0.2966,0.3382,0.3073,0.0707,1.5784
4,5,clerestory,architecture,0.2597,0.2824,0.3409,0.306,0.0608,1.6096
5,6,gathering,behavioral,0.4349,0.188,0.2957,0.3036,0.0843,1.3935
6,7,desk,furniture,0.4707,0.1439,0.2921,0.2997,0.0782,1.3065
7,8,pavilion,architecture,0.4379,0.1842,0.2882,0.2996,0.0581,1.3817
8,9,coffee table,furniture,0.5163,0.1197,0.2702,0.2941,0.0642,1.2509
9,10,bookshelf,furniture,0.4213,0.1725,0.2873,0.2921,0.0359,0.7024
10,11,quiet,behavioral,0.2249,0.306,0.3139,0.2897,0.1012,1.5852
11,12,mezzanine,architecture,0.3622,0.1714,0.2697,0.2682,0.061,1.2837
12,13,ceiling,architecture,0.3068,0.1988,0.2556,0.2542,0.0927,2.0238
13,14,wardrobe,furniture,0.2506,0.242,0.2595,0.2529,0.0508,1.3466
14,15,sculptural,quality,0.1986,0.2834,0.2608,0.2509,0.007,0.1325
15,16,subterranean,spatial,0.1834,0.2889,0.2635,0.2498,0.0616,1.191
16,17,heavy,quality,0.0449,0.4013,0.2739,0.2485,0.1805,3.1877
17,18,monumental,quality,0.181,0.2684,0.2721,0.2484,0.0867,1.7847
18,19,dining table,furniture,0.4521,0.0909,0.2145,0.243,0.0388,0.6638
19,20,balcony,architecture,0.3386,0.1672,0.2297,0.2413,0.0122,0.2647
20,21,vernacular,quality,0.1843,0.2572,0.2616,0.2412,0.0654,1.6348
21,22,cabinet,furniture,0.3179,0.1502,0.2437,0.2389,0.033,0.7724
22,23,balustrade,architecture,0.292,0.1913,0.2285,0.2351,0.0587,1.7406
23,24,alcove,architecture,0.2911,0.1699,0.2342,0.2323,0.0082,0.1863
24,25,lofty,spatial,0.1184,0.3099,0.2463,0.2302,0.0922,2.1165
25,26,aisle,architecture,0.2857,0.1637,0.2346,0.2297,0.0143,0.3436
26,27,buttress,architecture,0.1647,0.2562,0.2475,0.229,0.1099,2.7504
27,28,standing lamp,fixture,0.2897,0.1634,0.229,0.2278,0.0695,1.5677
28,29,enclosed,spatial,0.2581,0.2003,0.2249,0.2271,-0.0052,-0.1215
29,30,liminal,spatial,0.1418,0.2856,0.2391,0.2264,0.024,0.5566
