,rank,text,family,sim_space,sim_ambiance,sim_combined,weighted_score
0,1,labyrinthine,spatial,0.3307,0.3601,0.3867,0.3661
1,2,floor,architecture,0.4597,0.2157,0.3922,0.365
2,3,balcony,architecture,0.432,0.2431,0.3802,0.3589
3,4,door,architecture,0.4233,0.257,0.3723,0.3562
4,5,corridor,architecture,0.4447,0.1981,0.391,0.3562
5,6,mezzanine,architecture,0.4171,0.2598,0.3732,0.3558
6,7,pavilion,architecture,0.4877,0.1594,0.359,0.3412
7,8,aisle,architecture,0.4374,0.212,0.3568,0.3408
8,9,bookshelf,furniture,0.4165,0.2444,0.3457,0.3381
9,10,cavernous,spatial,0.3642,0.3083,0.3343,0.3353
10,11,bathtub,fixture,0.399,0.2192,0.3235,0.3163
11,12,ceiling,architecture,0.351,0.2251,0.324,0.306
12,13,chaotic,quality,0.2791,0.3079,0.3149,0.3042
13,14,vivid,quality,0.2088,0.4015,0.2937,0.2994
14,15,alcove,architecture,0.3885,0.2235,0.29,0.298
15,16,performing,behavioral,0.4062,0.1826,0.2986,0.2965
16,17,arcade,architecture,0.4238,0.1529,0.2999,0.2941
17,18,rotunda,architecture,0.389,0.1858,0.2948,0.2911
18,19,vault,architecture,0.3578,0.2239,0.2913,0.2911
19,20,cabinet,furniture,0.3603,0.2262,0.2869,0.2901
20,21,scintillating,lighting,0.1788,0.4273,0.2755,0.2893
21,22,subterranean,spatial,0.3184,0.2342,0.298,0.2871
22,23,skylight,architecture,0.2796,0.278,0.2926,0.2857
23,24,gathering,behavioral,0.4407,0.1318,0.271,0.2787
24,25,wardrobe,furniture,0.3191,0.2348,0.2795,0.2782
25,26,soffit,architecture,0.2908,0.2677,0.2744,0.2768
26,27,dining table,furniture,0.409,0.1386,0.2783,0.276
27,28,rhythmic,quality,0.368,0.1961,0.2687,0.2754
28,29,bed,furniture,0.3289,0.2118,0.2799,0.2751
29,30,desk,furniture,0.3675,0.2111,0.2598,0.2746
