,rank,text,family,sim_space,sim_ambiance,sim_combined,weighted_score
0,1,zenithal pavilion,lighting,0.3886,0.1281,0.3836,0.321
1,2,subterranean arcade prospect-view,spatial,0.2652,0.194,0.3593,0.2944
2,3,sage desk,color,0.3725,0.093,0.3469,0.2898
3,4,dining table retreat,furniture,0.3431,0.124,0.3403,0.2869
4,5,velvet bathtub arcade,material,0.2107,0.2735,0.3302,0.2862
5,6,zinc balcony,material,0.2909,0.1675,0.3401,0.2846
6,7,outward-facing pavilion,relation,0.2958,0.1053,0.3611,0.2808
7,8,narrow pavilion colonnade,spatial,0.2768,0.091,0.3487,0.2663
8,9,chaotic cabinet,quality,0.2446,0.1959,0.3102,0.2652
9,10,muted green pavilion,color,0.2748,0.1287,0.3276,0.2647
10,11,sofa subterranean,furniture,0.3151,0.1582,0.2894,0.263
11,12,portal cavernous,architecture,0.2598,0.1699,0.3083,0.2616
12,13,cavernous quiet nave,spatial,0.2864,0.1292,0.307,0.2574
13,14,overlapping floor pavilion,relation,0.2844,0.0534,0.3392,0.254
14,15,soft cabinet,quality,0.2557,0.1191,0.3177,0.2525
15,16,utilitarian balcony,quality,0.2393,0.1086,0.31,0.242
16,17,active central,behavioral,0.2269,0.185,0.2772,0.2416
17,18,whiteboard niche,technology,0.2803,0.1147,0.2854,0.2415
18,19,beige portico,color,0.2709,0.1426,0.2739,0.2403
19,20,alcove vernacular,architecture,0.3197,0.0964,0.2712,0.2396
20,21,vault tall,architecture,0.2614,0.1679,0.2638,0.2392
21,22,concrete vault,material,0.2636,0.1482,0.2715,0.2387
22,23,expansive side table,spatial,0.2543,0.0954,0.2995,0.2372
23,24,passive dining table,behavioral,0.2457,0.112,0.2794,0.2291
24,25,interstitial chair,spatial,0.2786,0.1245,0.2534,0.2275
25,26,sequenced wardrobe desk,spatial,0.219,0.1022,0.2911,0.2258
26,27,alcove enclosed,architecture,0.2648,0.0618,0.2871,0.2252
27,28,balustrade labyrinthine,architecture,0.196,0.1618,0.265,0.2219
28,29,marble buttress,material,0.2302,0.1379,0.2509,0.2175
29,30,double-height skylight arcade,spatial,0.1703,0.1406,0.2766,0.216
