,rank,text,family,sim_space,sim_ambiance,sim_combined,weighted_score
0,1,retreat sofa,behavioral,0.4713,0.425,0.6036,0.5259
1,2,dining table retreat,furniture,0.4707,0.3908,0.6038,0.5173
2,3,rammed earth armchair,material,0.3412,0.3305,0.4808,0.4084
3,4,sofa subterranean,furniture,0.4563,0.2553,0.4257,0.3907
4,5,travertine armchair,material,0.3901,0.2561,0.4397,0.3814
5,6,brick armchair,material,0.376,0.2739,0.4207,0.3728
6,7,velvet bathtub arcade,material,0.3874,0.2297,0.4008,0.3547
7,8,muted green pavilion,color,0.357,0.2201,0.3967,0.3426
8,9,passive dining table,behavioral,0.3052,0.2484,0.407,0.3419
9,10,armchair felt,furniture,0.2996,0.3235,0.3613,0.3364
10,11,cavernous quiet nave,spatial,0.3784,0.2494,0.3387,0.3263
11,12,lingering dome armchair,behavioral,0.3127,0.2856,0.3502,0.3247
12,13,sage desk,color,0.4094,0.1813,0.3336,0.3145
13,14,narrow bench quiet,spatial,0.2199,0.3137,0.3535,0.3101
14,15,utilitarian balcony,quality,0.3146,0.1789,0.3481,0.2974
15,16,armchair enclosed burnt sienna,furniture,0.2415,0.2205,0.3615,0.2963
16,17,cushion vivid,decoration,0.2496,0.2718,0.3292,0.2949
17,18,monumental bathtub floor,quality,0.3195,0.1985,0.3213,0.2901
18,19,enclosed ottoman wall,spatial,0.2615,0.2046,0.3445,0.2888
19,20,beige portico,color,0.346,0.1906,0.3091,0.2887
20,21,bench warm white,furniture,0.2349,0.3501,0.2838,0.2881
21,22,tall noisy sofa,spatial,0.2768,0.1628,0.3554,0.2876
22,23,diffuse warm,lighting,0.2005,0.32,0.3104,0.2853
23,24,expansive side table,spatial,0.2717,0.1932,0.3338,0.2831
24,25,interstitial chair,spatial,0.3259,0.2144,0.2919,0.281
25,26,plywood flowers cushion,material,0.1968,0.2373,0.3402,0.2786
26,27,compact quiet,spatial,0.2309,0.3132,0.2847,0.2784
27,28,bamboo rug bed,material,0.2729,0.1252,0.3451,0.2721
28,29,outward-facing pavilion,relation,0.3286,0.15,0.2975,0.2684
29,30,fireplace beige,fixture,0.2809,0.1588,0.3071,0.2635
