,rank,text,family,sim_space,sim_ambiance,sim_combined,weighted_score
0,1,cavernous quiet nave,spatial,0.3499,0.3355,0.419,0.3809
1,2,sage desk,color,0.4697,0.2231,0.4003,0.3734
2,3,warm white mirror formal,color,0.3104,0.3074,0.3795,0.3442
3,4,dining table retreat,furniture,0.4845,0.109,0.3779,0.3373
4,5,indigo dining table shadowed,color,0.2439,0.3062,0.3855,0.3303
5,6,muted green pavilion,color,0.3328,0.2488,0.3641,0.3274
6,7,sofa subterranean,furniture,0.3885,0.2645,0.3257,0.3261
7,8,compact quiet,spatial,0.3228,0.281,0.3452,0.3236
8,9,cabinet heavy,furniture,0.257,0.3226,0.35,0.3199
9,10,zenithal pavilion,lighting,0.4896,0.1181,0.3261,0.3149
10,11,expansive noisy ceiling,spatial,0.313,0.1626,0.3725,0.3052
11,12,floor felt cavernous,architecture,0.2389,0.2536,0.3615,0.3039
12,13,travertine armchair,material,0.3985,0.1781,0.3089,0.2986
13,14,narrow bench quiet,spatial,0.2592,0.2553,0.3113,0.2843
14,15,retreat sofa,behavioral,0.3841,0.1574,0.2884,0.2796
15,16,lingering dome armchair,behavioral,0.3027,0.1939,0.3068,0.2775
16,17,armchair felt,furniture,0.2582,0.2886,0.2739,0.2737
17,18,passive desk central,behavioral,0.4154,0.0646,0.2941,0.267
18,19,whiteboard alcove floor,technology,0.4074,0.0421,0.3066,0.2657
19,20,beige portico,color,0.2744,0.2691,0.2564,0.2641
20,21,alcove enclosed,architecture,0.3705,0.0974,0.2815,0.2577
21,22,alcove pale yellow,architecture,0.178,0.236,0.3036,0.2553
22,23,portal cavernous,architecture,0.2842,0.2097,0.2607,0.2538
23,24,clerestory dim,architecture,0.186,0.2568,0.2856,0.2535
24,25,chaotic cabinet,quality,0.2508,0.1693,0.2949,0.2525
25,26,chair ochre,furniture,0.3129,0.2014,0.2461,0.2516
26,27,alcove vernacular,architecture,0.312,0.1912,0.2477,0.2497
27,28,transparent desk side table,quality,0.3188,0.0873,0.2914,0.2472
28,29,monumental bed standing lamp,quality,0.3238,0.1224,0.2712,0.2471
29,30,tall noisy sofa,spatial,0.2785,0.1398,0.2826,0.2459
